Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,43.0,42.0,43.0,42.0,86.0,85.0,86.0,85.0,1,1,117,120,-,8°,8°,-,1L,-,-
2,?,-,110.0,110.0,114.0,114.0,136.0,136.0,140.0,140.0,12,13,149,154,-,15°,16°,-,2L,-,-
3,?,-,95.0,95.0,97.0,97.0,127.0,126.0,129.0,129.0,7,8,139,143,-,12°,13°,-,1L,-,-
4,?,-,94.0,94.0,96.0,96.0,130.0,129.0,132.0,132.0,6,6,149,154,-,9°,10°,-,4L,-,-
5,?,-,21.0,21.0,21.0,21.0,45.0,45.0,45.0,45.0,1,1,53,53,-,25°,26°,-,0,-,-
6,?,-,14.0,14.0,14.0,14.0,36.0,36.0,36.0,36.0,2,2,52,52,-,20°,22°,-,0,-,-
7,?,-,18.0,18.0,18.0,18.0,52.0,52.0,52.0,52.0,1,1,104,106,-,11°,12°,-,0,-,-
8,?,-,70.0,70.0,71.0,70.0,113.0,113.0,114.0,114.0,2,2,167,173,-,6°,6°,-,1L,-,-
9,?,-,91.0,90.0,93.0,92.0,123.0,122.0,125.0,124.0,8,8,148,153,-,13°,14°,-,5R,-,-
10,?,-,107.0,107.0,111.0,111.0,139.0,138.0,143.0,142.0,9,9,155,161,-,10°,11°,-,0,-,-
11,?,-,94.0,94.0,96.0,96.0,107.0,107.0,109.0,109.0,14,15,127,131,-,21°,23°,-,1L,-,-
12,?,-,100.0,100.0,103.0,103.0,104.0,104.0,107.0,107.0,21,21,132,136,-,28°,29°,-,1L,-,-
13,?,-,44.0,44.0,44.0,44.0,71.0,71.0,71.0,71.0,5,5,99,101,-,17°,18°,-,0,-,-
14,?,-,40.0,39.0,40.0,39.0,68.0,67.0,68.0,68.0,3,3,96,97,-,16°,17°,-,0,-,-
15,?,-,32.0,32.0,32.0,32.0,75.0,75.0,75.0,75.0,1,1,112,114,-,8°,9°,-,0,-,-
16,?,-,79.0,79.0,80.0,80.0,98.0,97.0,99.0,98.0,10,10,118,121,-,19°,20°,-,1L,-,-
17,?,-,22.0,22.0,22.0,22.0,67.0,68.0,67.0,68.0,1,1,126,130,-,7°,8°,-,0,-,-
18,?,-,31.0,31.0,31.0,31.0,82.0,82.0,82.0,82.0,1,1,159,164,-,4°,5°,-,0,-,-
19,?,-,105.0,105.0,108.0,108.0,116.0,116.0,120.0,120.0,16,16,142,146,-,20°,22°,-,2L,-,-
20,?,-,97.0,97.0,100.0,100.0,115.0,115.0,117.0,117.0,12,13,137,140,-,18°,20°,-,1L,-,-
21,?,-,114.0,114.0,119.0,118.0,140.0,139.0,144.0,144.0,14,14,140,144,-,17°,19°,-,3R,-,-
22,?,-,118.0,118.0,123.0,123.0,147.0,147.0,152.0,152.0,12,12,150,155,-,15°,16°,-,2L,-,-
23,?,-,24.0,24.0,24.0,24.0,48.0,48.0,48.0,48.0,3,3,67,68,-,27°,28°,-,0,-,-
24,?,-,23.0,23.0,23.0,23.0,65.0,65.0,65.0,65.0,1,1,156,162,-,6°,7°,-,0,-,-
25,?,-,84.0,84.0,85.0,85.0,110.0,110.0,112.0,112.0,9,9,135,139,-,16°,18°,-,5L,-,-
26,?,-,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,3,3,76,76,-,19°,20°,-,0,-,-
27,?,-,14.0,14.0,14.0,14.0,36.0,36.0,36.0,36.0,2,2,75,75,-,22°,24°,-,0,-,-
28,?,-,21.0,21.0,21.0,21.0,44.0,44.0,44.0,44.0,2,2,84,85,-,14°,15°,-,0,-,-
29,?,-,58.0,58.0,58.0,58.0,73.0,73.0,74.0,73.0,8,8,97,99,-,22°,24°,-,2L,-,-
30,?,-,34.0,33.0,34.0,33.0,65.0,64.0,65.0,64.0,2,2,97,98,-,13°,14°,-,0,-,-
31,?,-,66.0,65.0,66.0,66.0,86.0,86.0,86.0,86.0,8,8,108,110,-,21°,22°,-,2L,-,-
32,?,-,56.0,56.0,56.0,56.0,73.0,73.0,74.0,73.0,7,7,93,94,-,23°,25°,-,0,-,-
33,?,-,55.0,54.0,55.0,55.0,72.0,72.0,72.0,72.0,7,7,91,93,-,23°,25°,-,0,-,-
34,?,-,60.0,59.0,60.0,60.0,85.0,84.0,85.0,85.0,5,5,104,106,-,19°,20°,-,1L,-,-
