Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,6i,-,79.0,78.0,80.0,79.0,89.0,88.0,90.0,89.0,9,9,123,126,-,18°,19°,-,1L,-,-
2,6i,-,94.0,93.0,96.0,95.0,100.0,99.0,102.0,101.0,13,13,133,136,-,20°,22°,-,1L,-,-
3,6i,-,99.0,99.0,102.0,102.0,106.0,106.0,109.0,108.0,14,14,134,138,-,21°,22°,-,0,-,-
4,6i,-,21.0,19.0,21.0,19.0,68.0,66.0,68.0,66.0,1,1,127,130,-,6°,7°,-,0,-,-
5,6i,-,69.0,68.0,69.0,69.0,80.0,80.0,80.0,80.0,8,8,115,118,-,18°,20°,-,2R,-,-
6,6i,-,99.0,99.0,102.0,102.0,105.0,105.0,108.0,108.0,16,16,136,139,-,23°,24°,-,1R,-,-
7,6i,-,62.0,61.0,62.0,61.0,81.0,80.0,81.0,80.0,5,5,116,118,-,15°,16°,-,1L,-,-
8,6i,-,100.0,99.0,103.0,102.0,107.0,106.0,110.0,109.0,13,14,141,145,-,20°,21°,-,1R,-,-
9,6i,-,96.0,96.0,99.0,98.0,103.0,103.0,106.0,106.0,13,13,138,142,-,19°,21°,-,1L,-,-
10,6i,-,93.0,93.0,95.0,95.0,102.0,101.0,104.0,103.0,13,13,131,135,-,20°,22°,-,1R,-,-
11,6i,-,93.0,93.0,96.0,95.0,105.0,105.0,107.0,107.0,9,9,142,146,-,14°,15°,-,2R,-,-
12,6i,-,95.0,94.0,97.0,97.0,100.0,100.0,103.0,102.0,15,15,135,139,-,23°,24°,-,2R,-,-
13,6i,-,59.0,58.0,59.0,58.0,87.0,86.0,88.0,86.0,3,3,148,152,-,11°,12°,-,2R,-,-
14,6i,-,14.0,14.0,14.0,14.0,24.0,24.0,24.0,24.0,3,3,54,54,-,42°,43°,-,0,-,-
15,6i,-,17.0,16.0,17.0,16.0,41.0,41.0,41.0,41.0,2,2,88,89,-,21°,22°,-,0,-,-
16,6i,-,98.0,97.0,101.0,100.0,121.0,120.0,123.0,122.0,7,7,149,153,-,11°,12°,-,1L,-,-
17,6i,-,87.0,86.0,89.0,87.0,123.0,122.0,125.0,123.0,3,3,135,139,-,6°,7°,-,1R,-,-
18,6i,-,21.0,20.0,22.0,20.0,65.0,64.0,65.0,64.0,1,1,123,127,-,6°,7°,-,0,-,-
19,6i,-,18.0,17.0,18.0,17.0,31.0,31.0,32.0,31.0,3,3,49,49,-,33°,34°,-,0,-,-
