Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,82.0,81.0,83.0,83.0,110.0,110.0,112.0,111.0,7,7,140,144,-,12°,13°,-,2R,-,-
2,?,-,57.0,57.0,57.0,57.0,82.0,81.0,82.0,82.0,5,5,106,109,-,17°,19°,-,0,-,-
3,?,-,24.0,24.0,24.0,24.0,50.0,50.0,50.0,50.0,1,1,65,65,-,7°,8°,-,0,-,-
4,?,-,39.0,38.0,39.0,38.0,86.0,85.0,86.0,85.0,1,1,139,143,-,4°,4°,-,0,-,-
5,?,-,96.0,96.0,99.0,98.0,120.0,120.0,123.0,123.0,9,9,140,144,-,15°,17°,-,0,-,-
6,?,-,67.0,67.0,67.0,67.0,97.0,97.0,97.0,97.0,5,5,124,127,-,13°,14°,-,0,-,-
7,?,-,112.0,112.0,117.0,117.0,133.0,133.0,137.0,137.0,13,14,151,156,-,15°,17°,-,1R,-,-
8,?,-,35.0,35.0,35.0,35.0,90.0,90.0,90.0,90.0,0,0,163,169,-,3°,3°,-,0,-,-
9,?,-,102.0,102.0,106.0,105.0,120.0,119.0,123.0,123.0,13,13,142,146,-,18°,19°,-,0,-,-
10,?,-,65.0,65.0,65.0,65.0,96.0,95.0,96.0,96.0,4,4,127,131,-,12°,14°,-,2L,-,-
11,?,-,73.0,73.0,74.0,74.0,110.0,109.0,110.0,110.0,3,3,157,162,-,7°,8°,-,2R,-,-
12,?,-,105.0,105.0,108.0,108.0,137.0,137.0,140.0,140.0,7,7,157,163,-,10°,11°,-,0,-,-
13,?,-,106.0,106.0,110.0,110.0,136.0,136.0,140.0,140.0,10,10,144,148,-,15°,16°,-,2L,-,-
14,?,-,110.0,110.0,114.0,114.0,139.0,139.0,143.0,143.0,9,9,163,169,-,11°,12°,-,4L,-,-
15,?,-,90.0,90.0,92.0,92.0,128.0,128.0,130.0,129.0,5,5,165,170,-,8°,9°,-,1L,-,-
16,?,-,31.0,31.0,31.0,31.0,67.0,66.0,67.0,66.0,1,1,139,143,-,5°,5°,-,1R,-,-
17,?,-,15.0,15.0,15.0,15.0,40.0,40.0,40.0,40.0,1,1,66,66,-,16°,18°,-,0,-,-
18,?,-,109.0,109.0,113.0,113.0,126.0,126.0,130.0,130.0,15,16,146,150,-,18°,19°,-,2L,-,-
19,?,-,80.0,80.0,81.0,81.0,112.0,112.0,113.0,113.0,4,5,141,145,-,8°,9°,-,2L,-,-
20,?,-,25.0,24.0,25.0,24.0,66.0,66.0,66.0,66.0,1,1,119,122,-,5°,5°,-,0,-,-
21,?,-,89.0,89.0,91.0,91.0,111.0,111.0,113.0,113.0,9,9,135,139,-,14°,16°,-,0,-,-
22,?,-,32.0,32.0,32.0,32.0,64.0,63.0,64.0,63.0,0,0,164,170,-,2°,3°,-,0,-,-
