Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,88.0,88.0,90.0,90.0,114.0,114.0,116.0,115.0,7,7,148,153,-,11°,12°,-,2R,-,-
2,?,-,96.0,96.0,99.0,98.0,127.0,126.0,130.0,129.0,10,10,118,121,-,14°,15°,-,2L,-,-
3,?,-,109.0,108.0,113.0,112.0,136.0,136.0,140.0,140.0,10,10,164,170,-,14°,15°,-,5L,-,-
4,?,-,97.0,96.0,99.0,99.0,120.0,119.0,122.0,122.0,11,11,138,142,-,19°,21°,-,2R,-,-
5,?,-,18.0,18.0,18.0,18.0,38.0,38.0,38.0,38.0,3,3,64,64,-,29°,30°,-,0,-,-
6,?,-,109.0,108.0,113.0,112.0,120.0,119.0,124.0,123.0,16,17,150,155,-,20°,21°,-,0,-,-
7,6H,-,41.0,40.0,41.0,40.0,66.0,65.0,66.0,65.0,3,3,100,101,-,16°,18°,-,0,-,-
8,6H,-,62.0,61.0,62.0,61.0,69.0,69.0,69.0,69.0,11,11,103,105,-,29°,30°,-,0,-,-
9,6H,-,51.0,50.0,51.0,50.0,74.0,73.0,74.0,73.0,6,6,100,102,-,21°,22°,-,1L,-,-
10,6H,-,67.0,66.0,67.0,67.0,83.0,82.0,83.0,83.0,8,9,114,117,-,21°,23°,-,1L,-,-
11,6H,-,58.0,57.0,58.0,57.0,74.0,73.0,74.0,74.0,8,8,106,108,-,23°,25°,-,1L,-,-
12,6H,-,128.0,127.0,135.0,134.0,150.0,149.0,157.0,156.0,17,18,171,177,-,16°,18°,-,2R,-,-
13,6H,-,101.0,100.0,104.0,103.0,135.0,134.0,138.0,137.0,7,7,171,177,-,9°,10°,-,2L,-,-
14,6H,-,33.0,31.0,33.0,31.0,78.0,76.0,78.0,76.0,1,1,120,123,-,6°,6°,-,0,-,-
15,6H,-,22.0,22.0,22.0,22.0,45.0,44.0,45.0,44.0,3,3,65,65,-,28°,30°,-,0,-,-
16,6H,-,136.0,135.0,144.0,144.0,161.0,160.0,169.0,169.0,13,14,183,190,-,11°,13°,-,3L,-,-
17,6H,-,72.0,70.0,72.0,70.0,117.0,115.0,118.0,116.0,2,2,159,165,-,6°,6°,-,2L,-,-
18,6H,-,15.0,14.0,15.0,14.0,40.0,40.0,40.0,40.0,1,1,72,72,-,12°,13°,-,0,-,-
19,6H,-,37.0,37.0,37.0,37.0,65.0,64.0,65.0,64.0,3,3,114,116,-,20°,22°,-,1L,-,-
20,6H,-,69.0,68.0,69.0,69.0,84.0,84.0,85.0,84.0,8,8,114,117,-,19°,21°,-,0,-,-
21,6H,-,31.0,30.0,31.0,30.0,61.0,60.0,61.0,60.0,2,2,92,93,-,14°,16°,-,0,-,-
22,6H,-,70.0,69.0,71.0,70.0,87.0,86.0,88.0,87.0,9,9,115,118,-,20°,22°,-,0,-,-
23,6H,-,71.0,71.0,72.0,72.0,93.0,92.0,93.0,93.0,8,8,121,124,-,18°,20°,-,0,-,-
24,6H,-,58.0,58.0,59.0,58.0,72.0,71.0,72.0,71.0,8,8,103,105,-,22°,24°,-,0,-,-
25,6H,-,8.0,8.0,8.0,8.0,42.0,42.0,42.0,42.0,0,0,85,86,-,9°,10°,-,0,-,-
26,6H,-,25.0,25.0,25.0,25.0,49.0,48.0,49.0,48.0,4,4,72,72,-,26°,27°,-,0,-,-
27,6H,-,98.0,97.0,101.0,100.0,134.0,133.0,137.0,136.0,5,5,161,167,-,9°,10°,-,0,-,-
28,6H,-,82.0,81.0,83.0,82.0,112.0,111.0,113.0,112.0,6,6,156,161,-,15°,16°,-,4L,-,-
29,6H,-,13.0,13.0,13.0,13.0,21.0,21.0,21.0,21.0,3,3,50,51,-,46°,46°,-,0,-,-
30,6H,-,47.0,46.0,47.0,46.0,79.0,77.0,79.0,78.0,2,2,109,111,-,10°,11°,-,0,-,-
31,6H,-,48.0,47.0,48.0,47.0,82.0,81.0,82.0,81.0,2,2,123,126,-,12°,13°,-,1L,-,-
32,6H,-,58.0,57.0,58.0,57.0,88.0,87.0,88.0,87.0,3,3,124,127,-,11°,12°,-,1L,-,-
33,6H,-,50.0,49.0,50.0,50.0,81.0,80.0,81.0,80.0,3,3,116,119,-,13°,14°,-,1L,-,-
34,6H,-,65.0,64.0,65.0,65.0,92.0,91.0,92.0,92.0,6,6,117,120,-,14°,15°,-,1L,-,-
35,6H,-,95.0,94.0,98.0,97.0,130.0,129.0,133.0,132.0,6,6,173,179,-,9°,10°,-,4L,-,-
36,6H,-,46.0,42.0,46.0,42.0,85.0,82.0,85.0,82.0,1,1,159,164,-,3°,3°,-,0,-,-
37,6H,-,30.0,29.0,30.0,29.0,55.0,54.0,55.0,54.0,3,3,98,99,-,22°,24°,-,0,-,-
38,6H,-,120.0,119.0,126.0,125.0,151.0,150.0,157.0,156.0,10,10,167,173,-,11°,12°,-,1R,-,-
39,6H,-,95.0,95.0,98.0,98.0,133.0,134.0,136.0,136.0,5,5,174,180,-,9°,9°,-,5L,-,-
40,6H,-,48.0,44.0,48.0,44.0,99.0,95.0,99.0,95.0,1,1,153,158,-,4°,4°,-,0,-,-
41,6H,-,52.0,52.0,53.0,52.0,81.0,80.0,81.0,80.0,4,4,106,108,-,16°,18°,-,1L,-,-
42,6H,-,54.0,54.0,54.0,54.0,77.0,76.0,77.0,76.0,6,6,106,108,-,19°,21°,-,0,-,-
43,6H,-,21.0,20.0,21.0,20.0,55.0,54.0,55.0,54.0,1,1,100,102,-,10°,11°,-,0,-,-
44,6H,-,16.0,15.0,16.0,15.0,47.0,47.0,47.0,47.0,1,1,91,92,-,11°,13°,-,0,-,-
45,6H,-,73.0,72.0,74.0,73.0,92.0,92.0,93.0,92.0,9,9,121,124,-,19°,20°,-,1L,-,-
