Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,108.0,103.0,112.0,107.0,125.0,120.0,129.0,124.0,13,13,151,155,-,17°,19°,-,1R,-,-
2,?,-,67.0,53.0,68.0,54.0,106.0,93.0,107.0,93.0,2,2,162,167,-,8°,8°,-,4L,-,-
3,?,-,82.0,74.0,84.0,75.0,115.0,106.0,116.0,107.0,5,5,141,145,-,12°,13°,-,4L,-,-
4,?,-,60.0,46.0,60.0,46.0,99.0,85.0,99.0,85.0,2,2,144,148,-,9°,9°,-,3L,-,-
5,?,-,31.0,23.0,31.0,23.0,55.0,47.0,55.0,47.0,2,2,87,88,-,13°,14°,-,0,-,-
6,?,-,27.0,18.0,27.0,18.0,50.0,42.0,50.0,42.0,2,2,54,54,-,23°,25°,-,0,-,-
7,?,-,74.0,63.0,75.0,63.0,109.0,98.0,110.0,98.0,4,4,145,150,-,9°,10°,-,4L,-,-
8,?,-,43.0,27.0,43.0,27.0,81.0,65.0,81.0,65.0,1,1,131,135,-,6°,7°,-,1L,-,-
9,?,-,25.0,12.0,25.0,12.0,55.0,41.0,55.0,41.0,0,0,86,87,-,7°,7°,-,0,-,-
10,?,-,31.0,10.0,31.0,10.0,71.0,50.0,71.0,50.0,0,0,131,135,-,2°,2°,-,0,-,-
11,?,-,48.0,34.0,48.0,34.0,84.0,69.0,84.0,69.0,1,1,132,136,-,7°,8°,-,2R,-,-
12,?,-,43.0,30.0,44.0,30.0,79.0,66.0,79.0,66.0,1,1,121,124,-,8°,9°,-,1L,-,-
13,?,-,27.0,10.0,27.0,10.0,67.0,50.0,67.0,50.0,0,0,108,110,-,4°,4°,-,0,-,-
14,?,-,108.0,103.0,111.0,106.0,125.0,120.0,129.0,123.0,14,14,154,159,-,17°,19°,-,4L,-,-
15,?,-,74.0,66.0,75.0,67.0,102.0,94.0,103.0,95.0,5,5,116,119,-,14°,15°,-,1L,-,-
16,?,-,57.0,43.0,58.0,43.0,98.0,83.0,98.0,83.0,2,2,150,155,-,7°,8°,-,3R,-,-
17,?,-,25.0,13.0,25.0,13.0,54.0,42.0,54.0,42.0,0,0,101,102,-,6°,6°,-,0,-,-
