Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,46.0,45.0,46.0,45.0,89.0,89.0,89.0,89.0,1,1,132,136,-,6°,7°,-,1R,-,-
2,?,-,34.0,34.0,34.0,34.0,79.0,79.0,79.0,79.0,1,1,135,138,-,4°,5°,-,0,-,-
3,?,-,96.0,96.0,99.0,98.0,105.0,104.0,107.0,107.0,16,16,140,144,-,23°,24°,-,3R,-,-
4,?,-,95.0,95.0,98.0,98.0,113.0,113.0,115.0,115.0,12,13,133,137,-,18°,20°,-,1R,-,-
5,?,-,77.0,76.0,78.0,77.0,102.0,101.0,103.0,102.0,8,8,120,123,-,19°,21°,-,2R,-,-
6,?,-,100.0,100.0,102.0,102.0,127.0,127.0,130.0,130.0,10,10,148,152,-,15°,16°,-,2L,-,-
7,?,-,82.0,82.0,83.0,83.0,95.0,95.0,96.0,96.0,11,11,123,126,-,20°,22°,-,1R,-,-
8,?,-,95.0,95.0,98.0,97.0,122.0,121.0,124.0,124.0,11,12,134,138,-,18°,20°,-,1R,-,-
9,?,-,102.0,102.0,105.0,105.0,124.0,124.0,127.0,127.0,13,13,143,148,-,16°,18°,-,1R,-,-
10,?,-,82.0,81.0,83.0,82.0,115.0,114.0,116.0,115.0,6,6,147,152,-,12°,13°,-,2R,-,-
11,?,-,113.0,113.0,118.0,117.0,139.0,138.0,143.0,143.0,11,12,156,162,-,14°,15°,-,5L,-,-
12,?,-,26.0,26.0,26.0,26.0,52.0,52.0,52.0,52.0,2,2,91,92,-,16°,17°,-,0,-,-
13,?,-,95.0,95.0,97.0,97.0,124.0,124.0,126.0,126.0,11,11,133,136,-,18°,19°,-,1L,-,-
14,?,-,79.0,79.0,80.0,80.0,91.0,91.0,92.0,92.0,12,12,113,116,-,23°,25°,-,1L,-,-
15,?,-,24.0,24.0,24.0,24.0,45.0,45.0,45.0,45.0,4,4,46,46,-,41°,42°,-,0,-,-
16,?,-,93.0,93.0,95.0,95.0,105.0,105.0,107.0,107.0,14,14,127,130,-,23°,25°,-,2L,-,-
17,?,-,91.0,91.0,93.0,93.0,95.0,95.0,97.0,97.0,21,21,130,133,-,28°,29°,-,1R,-,-
18,?,-,31.0,31.0,31.0,31.0,59.0,59.0,59.0,59.0,2,2,98,100,-,15°,17°,-,0,-,-
19,?,-,27.0,27.0,27.0,27.0,50.0,50.0,50.0,50.0,3,3,87,88,-,15°,17°,-,0,-,-
20,?,-,30.0,30.0,30.0,30.0,70.0,69.0,70.0,69.0,1,1,102,104,-,10°,11°,-,0,-,-
21,?,-,116.0,116.0,122.0,122.0,132.0,132.0,138.0,138.0,14,14,154,159,-,15°,16°,-,2L,-,-
22,?,-,127.0,127.0,134.0,134.0,146.0,145.0,153.0,152.0,14,15,168,174,-,12°,14°,-,2L,-,-
